"s1","s2","c1","d1","d2","d5","e1","e4","g1","g2","g6_01","g6_02","k2","k1","comp_i","w2r_i","tr_inst_i","risk_i","col_i","reg_i","sci_i","med_i"
0,32,1,0,1,0,10,0,0,1,0,0,10,1,10,10,0,4,0,0,0,10
1,51,1,6,0,2,3,3,6,0,0,0,9,1,10,8,1,0.5,7,6.5,8,7.66666666666667
1,60,1,9,1,3,0,10,2,1,0,0,2,0,10,10,7.5,3,7,1.5,7.33333333333333,6.33333333333333
1,75,1,5,0,3,6,3,7,0,0,0,10,1,9,9,2,2.5,2,7.5,8.33333333333333,1
1,37,1,6,0,7,3,7,2,0,0,1,10,1,8.5,0,3.5,2,3,6,8.66666666666667,7
0,38,1,4,1,5,4,0,4,0,1,1,6,1,10,10,0,1,4,6,6,4
0,71,1,8,1,2,1,10,6,1,1,1,1,0,10,3,8,0,2.5,6.5,8.66666666666667,4.66666666666667
0,38,0,0,0,7,4,0,6,0,1,1,7,0,8.25,2,0,0.5,2.5,1,3.66666666666667,0
0,75,0,8,0,7,7,8,7,0,1,1,3,1,10,0,6.5,2,4.5,8.5,8.33333333333333,10
0,76,0,8,0,4,6,9,5,1,1,1,5,1,7.5,8.5,4,1,5,8,6.33333333333333,2.66666666666667
1,46,0,7,0,3,3,7,8,0,1,0,9,0,9.25,9,2,2,9,9.5,10,8.66666666666667
0,53,1,10,1,3,7,9,8,1,1,0,4,0,10,10,8.5,0.5,9.5,6.5,8.66666666666667,3.66666666666667
1,39,0,8,1,2,7,8,5,0,1,1,6,1,8.5,10,4.5,2.5,5,9,10,7
1,36,0,7,1,0,4,7,7,0,1,1,2,1,7.5,10,2.5,3,6,6,7.66666666666667,6
1,65,1,9,0,0,3,9,8,1,1,0,0,0,10,4.5,6.5,2,3,9.5,5.33333333333333,5
1,49,1,5,0,3,3,4,4,1,1,1,7,1,8.25,5,1.5,1,5,7.5,6,7
1,46,0,5,0,7,2,4,8,0,0,0,7,0,8.75,6.5,1,2.5,7,7.5,4.66666666666667,10
0,65,0,5,0,5,5,4,6,0,1,1,10,0,9.5,6,1.5,2,6,9.5,2.66666666666667,8.33333333333333
1,71,0,9,0,6,3,9,7,1,0,0,2,0,10,8.5,3,0,9,9.5,9.66666666666667,1.66666666666667
1,64,1,6,0,4,3,5,5,1,1,1,7,1,9.25,9,3.5,1.5,7,5.5,5.66666666666667,4.66666666666667
0,32,1,10,1,0,1,7,7,0,1,1,5,1,10,10,5,2,1,7.5,5,5
0,51,0,8,1,2,2,8,7,1,1,0,1,1,6.5,8,5,2,5.5,8,6.33333333333333,8
0,49,0,6,0,8,3,6,7,0,0,0,5,0,6.25,3.5,5.5,2,4,3.5,7,1.33333333333333
1,45,0,9,0,4,6,8,5,0,0,1,9,0,9.5,7,5,3,7.5,9,5.66666666666667,9.33333333333333
1,52,1,7,0,7,2,6,7,1,1,1,3,1,7.75,8,7,2,7,8,7.66666666666667,2.33333333333333
0,51,1,7,0,6,3,7,5,0,0,0,4,0,9.75,6,6.5,1.5,6,7,6,4.66666666666667
1,44,0,10,0,2,2,7,3,0,1,1,10,1,10,9,5,1.5,10,8.5,9,10
